Retail,Name,Price,Category,Img,Link,Quantity,Unit,Date of Update,Date of update,Name Cleaned,Translated Name Cleaned,Context Name,Product,Best Category,Top 1,Top 2,Top 3,Synthetic
Coop,Peter Larsen,42.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fa87b573477ac784616a0a79939113c15%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F1c95e2d77dc5fac578f8508904214fa5&w=378&s=2f2ecfc4712e8f6387af1ea90eae8b65,,400,g,2025-04-27,,peter larsen,peter larsen,peter larsen,peter larsen,Frikadeller,Frikadeller (0.36),Knækbrød (0.29),Parmesan (0.28),False
Coop,BKI Ekstra*,42.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fa87b573477ac784616a0a79939113c15%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F1c95e2d77dc5fac578f8508904214fa5&w=378&s=2f2ecfc4712e8f6387af1ea90eae8b65,,400,g,2025-04-27,,bki ekstra,bki extra,bki extra,bki extra,Pasta Sauce,Pasta Sauce (0.25),Pasta (0.25),Knækbrød (0.24),False
Coop,365 økologi æblejuice,10.0,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fba2cf3862a336fd1751d1223028cb7de&w=828&s=74610624b4abccea68b390c6556d80da,,3,x,2025-04-27,,økologi æblejuice,organic apple juice,organic apple juice,organic apple juice,Apple Juice,Apple Juice (0.83),Fruit Juice (Mixed) (0.65),Apple Cider (0.61),False
Coop,Cheasy yoghurt,12.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fd2b16089d72b4b286bebe8089dc82d18%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fe13f49fa7de636a50c4367b259895193%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fa0df03b7a6cd2f44d0a0300792d5da8f&w=828&s=c101c98752d47caf86e4dadd6ae02838,,1,kg,2025-04-27,,cheasy yoghurt,Cheasy yogurt,Cheasy yogurt,Cheasy yogurt,Yogurt,Yogurt (0.75),Cream Cheese (0.47),Cottage Cheese (0.45),False
Coop,Frikad,12.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F7f14292ea614ede6cd3869a03113a743%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5905d4f1a872e28a21246b5da4ecb7b0%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ffb554cdd03129a77211773b5ecea11ef&w=378&s=f46684b4a60c53b331ac8ccfd85b7b77,,200-250,g,2025-04-27,,frikad,frikad,frikad,frikad,Frikadeller,Frikadeller (0.64),Knækbrød (0.38),Salami (0.31),False
Coop,Valsemøllen dansk hvedemel*,10.0,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F8e68f2ae2e5648f9a0dd25ac6c40d77e&w=378&s=57cc9007400eb8550ac780c7331cdc19,,2000,g,2025-04-27,,valsemøllen  hvedemel,the rolling mill wheat flour,the rolling mill wheat flour,the rolling mill wheat flour,Wheat Flour,Wheat Flour (0.82),Rye Flour (0.65),Rye Bread (0.51),False
Coop,Italiana pizza,18.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F4b8b7970aec59c04f517b2b7604c76f6%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F6bba79995e57283bbff60fe06dd72e15%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F7184a068dd48a92fb09a55bd964b5d87%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F43c708985e79e70dd117271ae31059e7%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fe8c8f0d3b90d8e334d9698216306e792&w=378&s=6462ee8c32e39644d3837a5d5ecf3394,,300-410,g,2025-04-27,,italiana pizza,italiana pizza,italiana pizza,italiana pizza,Pizza,Pizza (0.77),Pasta (0.55),Mozzarella (0.53),False
Coop,Tulip bacon 3-pak,32.0,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F07aee01f1d0cc2dfc978c8eefa8d2f85&w=378&s=075df85cdc3e8b03b6d083296b315d13,,3,x,2025-04-27,,tulip bacon pak,tulip bacon pack,tulip bacon pack,tulip bacon pack,Biscuits,Biscuits (0.37),Bread Crumbs (0.34),Bread Loaf (0.34),False
Coop,Cheasy skyr,3.65,,https://image-transformer-api.tjek.com/?_id=v2.6&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5055ab5ae717758c13ace0d835cd2cd6%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F18af2cb26c30764190400197897a14f0&w=828&s=98353a966e5fc18ac18c62bde29d33b6,,180,g,2025-04-27,,cheasy skyr,Cheasy skyr,Cheasy skyr,Cheasy skyr,Skyr,Skyr (0.68),Frikadeller (0.31),Lasagna (0.31),False
Coop,The Perfect Mixer,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=485&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3164782d5bb95849974147fa363b431a&w=395&s=ddc5abef21af60a87fa38c6e0e22075e,,33-50,cl,2025-04-27,,the perfect mixer,the perfect mixer,the perfect mixer,the perfect mixer,Baking Mix,Baking Mix (0.52),Fruit Mix (0.41),Whipping Cream (0.35),False
Coop,X-RAY*,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=485&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3164782d5bb95849974147fa363b431a&w=395&s=ddc5abef21af60a87fa38c6e0e22075e,,33-50,cl,2025-04-27,,xray,xray,xray,xray,Skyr,Skyr (0.22),Apples (0.22),Candy (0.20),False
Coop,Trainers til hele familien,,,,,,,,2025-04-27,trainers til hele familien,Trainers for the whole family,Trainers for the whole family,Trainers for the whole family,Sports Drink,Sports Drink (0.23),Buns (0.21),Milk (0.20),False
Coop,Blue Keld*,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fae80d4c4c232e2b56e7b86cf1513458e&w=378&s=7220677c5796611a033931ca60558540,,50,cl,2025-04-27,,blue keld,blue keld,blue keld,blue keld,Ketchup,Ketchup (0.39),Blueberries (0.37),Knækbrød (0.33),False
Coop,Panda Pepe*,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5627f15fabbc9ca2599df625da679b17&w=828&s=8b0e000cd45bc9c6d34d6758aaa0ca35,,28-32,g,2025-04-27,,panda pepe,Panda pepe,Panda pepe,Panda pepe,Peas,Peas (0.35),Pasta Sauce (0.33),Pasta (0.32),False
Coop,Müslibars*,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fbf4b2ba671273314bdeb05b75a78bd9a&w=828&s=34885f39e5a912b95e65802c8fe53735,,40-45,g,2025-04-27,,müslibars,müslibars,müslibars,müslibars,Salami,Salami (0.31),Frikadeller (0.29),Knækbrød (0.27),False
Coop,365 økologisk smoothies*,3.65,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fb76f3839ec9731634045745b5d8a60a3%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F485464d1b0617fd8f7ac6312925cf027%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fa52843f6ce1932c90af3f48a362b2e16%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F7dd2c6d255c257b9fcc78501fdb3d4a7%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F911f4516b77bcd179aead2b00a9e3009&w=378&s=b90078ed24065db500e1959e97bd487c,,90,g,2025-04-27,,smoothies,smoothies,smoothies,smoothies,Strawberries,Strawberries (0.47),Berry Juice (0.45),Berries (0.45),False
Coop,365 affaldsposer*,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ff8e425810e86a38ec1d4e81074bfb3ba&w=378&s=9199681493291f6a2a72584a29204f19,,20,stk,2025-04-27,,affaldsposer,waste bags,waste bags,waste bags,Trash Bags,Trash Bags (0.78),Laundry Detergent (0.39),Toilet Paper (0.35),False
Coop,Graasten pålægssalater*,10.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Ff6fff9a3f41da5763932c045a5eb1669%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fc89077331cb2222685fa79b168eae58a%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fa73d0d709cc26f05d739276ba278549c%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fdc9c4ee76cd0b89f4dc66572cf163207%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F2dfdb3699415a8124723fde64d61dca9&w=1128&s=c73fd7743e31e6912dd5a1e94cd04526,,120,g,2025-04-27,,graasten pålægssalater,Graasted lettuces,Graasted lettuces,Graasted lettuces,Lettuce,Lettuce (0.54),Mustard (0.28),Potatoes (0.28),False
Coop,Grønne asparges,10.0,,https://image-transformer-api.tjek.com/?_id=v2&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F6cc220084f7caedcdb6a18f07bc403ac&w=528&s=b25e3ff6d1267cda0384f68cd643fa01,,250,g,2025-04-27,,grønne asparges,green asparagus,green asparagus,green asparagus,Lettuce,Lettuce (0.45),Vegetable Juice (0.44),Cauliflower (0.44),False
Coop,Knorr sauce,10.0,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F53218e4348b44523e71fb308244e6259&w=528&s=e5ecd5d36b4fc0b92a22a4acb2aeaae2,,57-102,g,2025-04-27,,knorr sauce,knorr sauce,knorr sauce,knorr sauce,Pasta Sauce,Pasta Sauce (0.48),Ketchup (0.44),Cream Cheese (0.38),False
Coop,bouillon*,10.0,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F53218e4348b44523e71fb308244e6259&w=528&s=e5ecd5d36b4fc0b92a22a4acb2aeaae2,,57-102,g,2025-04-27,,bouillon,brouillon,brouillon,brouillon,Bouillon,Bouillon (0.83),Broccoli (0.44),Couscous (0.34),False
Coop,Heinz ketchup*,10.0,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F439d6d7a6da8357a907c1ebd9aad9886&w=528&s=d7425e4e99038b88c56b1c5869ce583f,,460,g,2025-04-27,,heinz ketchup,heinz ketchup,heinz ketchup,heinz ketchup,Ketchup,Ketchup (0.79),Sausage (0.46),Mustard (0.46),False
Coop,Katjes slikposer*,10.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F8d0b90a50aaa45769d1cdcefa36ca87a%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F79a427022910da2046b97275fd52dfbd%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F75ef008530059cb3b9cb110f3c1371c9%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fb8b4641a5e85602fb0478a8753ff306a&w=828&s=c5fec0569313b7df59aa823e3f3f91bd,,75-80,g,2025-04-27,,katjes slikposer,cat's candy bags,cat's candy bags,cat's candy bags,Candy,Candy (0.63),Trash Bags (0.54),Biscuits (0.37),False
Coop,Dan Cake Citronmåne,10.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fbf810c524ac041549ee3d0fca79a4853%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F33c21232da82a6260638871969a6ed51%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F0a9052d256a0d8588f225865046ec803%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fcaf56e8eba749e8542d7ebba67a480ed&w=828&s=c3424958f742444f1defaecd0f27d20b,,144-350,g,2025-04-27,,dan cake citronmåne,dan cake lemon moon,dan cake lemon moon,dan cake lemon moon,Lemons,Lemons (0.44),Fish Cakes (0.44),Candy (0.33),False
Coop,Karen Volf Kagemarked*,10.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fbf810c524ac041549ee3d0fca79a4853%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F33c21232da82a6260638871969a6ed51%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F0a9052d256a0d8588f225865046ec803%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fcaf56e8eba749e8542d7ebba67a480ed&w=828&s=c3424958f742444f1defaecd0f27d20b,,144-350,g,2025-04-27,,karen volf kagemarked,Karen volf cake market,Karen volf cake market,Karen volf cake market,Fish Cakes,Fish Cakes (0.48),Baking Mix (0.32),Bread Loaf (0.28),False
Coop,Red Bull,,,,,,,2025-04-27,,red bull,red bull,red bull,red bull,Milk,Milk (0.40),Sports Drink (0.37),Cola (0.36),False
Coop,Smirnoff Mokai,,,,,,,2025-04-27,,smirnoff mokai,smirnoff mokai,smirnoff mokai,smirnoff mokai,Frikadeller,Frikadeller (0.33),Mozzarella (0.31),Salami (0.30),False
Coop,Shaker*,,,,,,,2025-04-27,,shaker,shaker,shaker,shaker,Skyr,Skyr (0.39),Frikadeller (0.38),Conditioner (0.33),False
Coop,Nørregade frys-selv-is*,10.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fe1b5cfcff3770347439dfd163cf06aa5%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fcafaf31ef660e0e990f2301a9fa32ef3%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3a210808ce1498f05f78ecd7bef24e9d%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F7295c4833f615e9c7281ed54f2b758d9&w=378&s=c751f5e6c437e6399f0072efea2657c4,,8,x,2025-04-27,,nørregade frysselvis,Nørregade frysselvis,Nørregade frysselvis,Nørregade frysselvis,Knækbrød,Knækbrød (0.66),Frikadeller (0.41),Fish Fillet (0.26),False
Coop,Danske Egnsgårde pakkemarked,32.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5dd6dbb30b0157478f14e8083a936bfc%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F9e1d10ff96f83c6e3e5a8f4b233f11da%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F35261f5081b4e405bc96bdb433fba8a4%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3a36f45235736346ac5e73a296b25365%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3fb4d1077a232feb25cfc04ae8555ff4&w=828&s=305a08edfdec096427b988bc3c36e86d,,400-475,g,2025-04-27,,egnsgårde pakkemarked,regional farm parcel market,regional farm parcel market,regional farm parcel market,Corn,Corn (0.26),Wheat Flour (0.25),Plant Milk (0.24),False
Coop,Frijsenborg hel kylling,62.0,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3a79a823f926bccab35fc1cdc10864b3&w=828&s=d77e8a03bc5412faf2de46fbef39f32c,,550-1350,g,2025-04-27,,frijsenborg hel kylling,Frijsenborg whole chicken,Frijsenborg whole chicken,Frijsenborg whole chicken,Chicken Breast,Chicken Breast (0.47),Chicken Mixed Cuts (0.46),Chicken Thighs (0.46),False
Coop,kyllingefilet,62.0,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3a79a823f926bccab35fc1cdc10864b3&w=828&s=d77e8a03bc5412faf2de46fbef39f32c,,550-1350,g,2025-04-27,,kyllingefilet,chicken fillet,chicken fillet,chicken fillet,Fish Fillet,Fish Fillet (0.73),Chicken Breast (0.55),Chicken Mixed Cuts (0.55),False
Coop,Danske Egnsgårde kalvewienerschnitzel,35.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F8e3bc7b5837266f0692d23ad7c6a1045%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F6e2a3ae80ff5ea166a77fbcd4bde8ac8&w=828&s=faa9f90c73ffac8ed522d54f6fec837f,,200,g,2025-04-27,,egnsgårde kalvewienerschnitzel,regional farms calfwienerschnitzel,regional farms calfwienerschnitzel,regional farms calfwienerschnitzel,Plant Milk,Plant Milk (0.30),Beef Mince (0.30),Corn (0.27),False
Coop,kalvesteaks,35.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F8e3bc7b5837266f0692d23ad7c6a1045%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F6e2a3ae80ff5ea166a77fbcd4bde8ac8&w=828&s=faa9f90c73ffac8ed522d54f6fec837f,,200,g,2025-04-27,,kalvesteaks,veal steaks,veal steaks,veal steaks,Beef Steak,Beef Steak (0.68),Beef Mince (0.45),Potatoes (0.41),False
Coop,Kyllingeover-,29.0,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F48b62e22daa3340f5e45686c6c21b035&w=828&s=41178085fb33a97e88c791b7467b016a,,450-800,g,2025-04-27,,kyllingeover,chicken upper tighs,chicken upper tighs,chicken upper tighs,Chicken Thighs,Chicken Thighs (0.66),Chicken Breast (0.55),Chicken Mixed Cuts (0.52),False
Coop,underlår,29.0,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F48b62e22daa3340f5e45686c6c21b035&w=828&s=41178085fb33a97e88c791b7467b016a,,450-800,g,2025-04-27,,kyllingeunderlår,chicken lower thighs,chicken lower thighs,chicken lower thighs,Chicken Thighs,Chicken Thighs (0.85),Chicken Breast (0.57),Chicken Drumsticks (0.48),False
Coop,hakket kylling 7-10%,29.0,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F48b62e22daa3340f5e45686c6c21b035&w=828&s=41178085fb33a97e88c791b7467b016a,,450-800,g,2025-04-27,,hakket kylling,minced chicken,minced chicken,minced chicken,Chicken Breast,Chicken Breast (0.61),Chicken Mixed Cuts (0.60),Beef Mince (0.59),False
Coop,Kyllingebryst med lage,55.0,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F01f94468753542291a166b765db633c7&w=828&s=261c20ae9c33d445a50ba2e02f32258e,,800,g,2025-04-27,,kyllingebryst med lage,chicken breast with layer,chicken breast with layer,chicken breast with layer,Chicken Breast,Chicken Breast (0.79),Chicken Mixed Cuts (0.52),Chicken Thighs (0.52),False
Coop,Glyngøre sprødbagt sejfilet med,35.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=362&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fc9a91e36de7358499b4975d94df32af6%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fec5b3a994619e0815cec9e5a010bdf99&w=828&s=2caa5f50698468b874cf5054b6a48e30,,250-325,g,2025-04-27,,glyngøre sprødbagt sejfilet med,glynding crisp-baked sefilet with,glynding crisp-baked sefilet with,glynding crisp-baked sefilet with,Crispbread,Crispbread (0.42),Baking Mix (0.36),Rye Bread (0.30),False
Coop,uden spinat og feta,35.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=362&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fc9a91e36de7358499b4975d94df32af6%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fec5b3a994619e0815cec9e5a010bdf99&w=828&s=2caa5f50698468b874cf5054b6a48e30,,250-325,g,2025-04-27,,uden spinat og feta,without spinach and feta,without spinach and feta,without spinach and feta,Spinach,Spinach (0.61),Feta Cheese (0.51),Pasta Salad (0.35),False
Coop,K-Salat bearnaise-,12.0,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5f3b2296ac43027b95187dbaf798cf4e%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F4f69a2c9d8a931675118ca983e080bc5&w=828&s=5cdae4e4123092a9c59098bb283c5e3a,,325,g,2025-04-27,,ksalat bearnaise,lettuce bearnaise,lettuce bearnaise,lettuce bearnaise,Lettuce,Lettuce (0.71),Broccoli (0.41),Zucchini (0.41),False
