Retail,Name,Category,Img,Link,Price,Quantity,Unit,Date of Update,Name Cleaned,Translated Name Cleaned,Category (EN)
Rema1000,MINIFLUTES,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/46644/image/1745842289/170.jpg,https://shop.rema1000.dk/frost,14.95,750,GR.,2025-06-01,miniflutes,miniflutes,BRØD & KAGER
Rema1000,MØLLEHJUL,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/46250/image/1668438243/170.jpg,https://shop.rema1000.dk/frost,12.0,420,GR.,2025-06-01,møllehjul,mill wheels;,BRØD & KAGER
Rema1000,"SURDEJSBOLLER, STENSOVNSBAGTE",BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/46101/image/1721412005/170.jpg,https://shop.rema1000.dk/frost,12.0,420,GR.,2025-06-01,"surdejsboller, stensovnsbagte","Sourdough balls, stone oven baked",BRØD & KAGER
Rema1000,SMØRCROISSANT,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45485/image/1725289306/170.jpg,https://shop.rema1000.dk/frost,24.95,280,GR.,2025-06-01,smørcroissant,Butter croissant,BRØD & KAGER
Rema1000,SKAGENSLAPPER,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/46251/image/1668438169/170.jpg,https://shop.rema1000.dk/frost,12.0,438,GR.,2025-06-01,skagenslapper,Coat flaps,BRØD & KAGER
Rema1000,KANELSNEGLE,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45515/image/1679649595/170.jpg,https://shop.rema1000.dk/frost,12.0,340,GR.,2025-06-01,kanelsnegle,Cinnamon snails,BRØD & KAGER
Rema1000,CHOKO CROISSANT,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45486/image/1618239322/170.jpg,https://shop.rema1000.dk/frost,22.95,180,GR.,2025-06-01,choko croissant,Shoco croissant,BRØD & KAGER
Rema1000,HAVRESTYKKE,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/46190/image/1633358508/170.jpg,https://shop.rema1000.dk/frost,19.95,510,GR.,2025-06-01,havrestykke,Piece of oat,BRØD & KAGER
Rema1000,BAGELS CHILI,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/46211/image/1709143206/170.jpg,https://shop.rema1000.dk/frost,19.95,400,GR.,2025-06-01,bagels chili,Bagels chili,BRØD & KAGER
Rema1000,FOCACCIA M/HAVSALT,BRØD & KAGER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/46445/image/1635780073/170.jpg,https://shop.rema1000.dk/frost,14.95,280,GR.,2025-06-01,focaccia m/havsalt,Focaccia m/ha,BRØD & KAGER
Rema1000,PANEREDE FISK,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43000/image/1737726349/170.jpg,https://shop.rema1000.dk/frost,25.0,500,GR.,2025-06-01,panerede fisk,spawned fish;,Fish & Shellfish
Rema1000,EKSTRA STORE REJER,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43047/image/1618239289/170.jpg,https://shop.rema1000.dk/frost,25.0,200,GR.,2025-06-01,ekstra store rejer,extra large shrimps,Fish & Shellfish
Rema1000,FISH AND CRISP,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43015/image/1742234408/170.jpg,https://shop.rema1000.dk/frost,39.95,480,GR.,2025-06-01,fish and crisp,fish and crisp,Fish & Shellfish
Rema1000,INDBAGT LAKS,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/42980/image/1618239286/170.jpg,https://shop.rema1000.dk/frost,19.95,250,GR.,2025-06-01,indbagt laks,"baked salmon,",Fish & Shellfish
Rema1000,TORPEDOREJER,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43086/image/1689950694/170.jpg,https://shop.rema1000.dk/frost,25.0,160,GR.,2025-06-01,torpedorejer,Torpedo shrimps,Fish & Shellfish
Rema1000,FISKEPINDE,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43022/image/1672752058/170.jpg,https://shop.rema1000.dk/frost,26.95,450,GR.,2025-06-01,fiskepinde,Fish sticks,Fish & Shellfish
Rema1000,VANNAMEI REJER KOGTE,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43250/image/1618239293/170.jpg,https://shop.rema1000.dk/frost,25.0,200,GR.,2025-06-01,vannamei rejer kogte,Vannamei shrimp cooked,Fish & Shellfish
Rema1000,INDBAGTE REJER M.,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/42990/image/1618239286/170.jpg,https://shop.rema1000.dk/frost,19.95,250,GR.,2025-06-01,indbagte rejer m.,baked shrimp m.,Fish & Shellfish
Rema1000,PANERET FISK M.REJER,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/42981/image/1727956557/170.jpg,https://shop.rema1000.dk/frost,19.95,250,GR.,2025-06-01,paneret fisk m.rejer,spawned fish shrimps and prawns;,Fish & Shellfish
Rema1000,VANNAMEI REJER RÅ,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43249/image/1618239293/170.jpg,https://shop.rema1000.dk/frost,25.0,200,GR.,2025-06-01,vannamei rejer rå,Vannamei shrimp raw,Fish & Shellfish
Rema1000,STORE VESTERHAVS RØDSPÆTTER,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43006/image/1730205747/170.jpg,https://shop.rema1000.dk/frost,49.0,500,GR.,2025-06-01,store vesterhavs rødspætter,Greater Western plaice,Fish & Shellfish
Rema1000,LAKSEFILET 4 X 100G,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43275/image/1737655207/170.jpg,https://shop.rema1000.dk/frost,79.95,400,GR.,2025-06-01,laksefilet 4 x 100g,salmon fillet 4 x 100g,Fish & Shellfish
Rema1000,TUNSTEAKS,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43362/image/1733392378/170.jpg,https://shop.rema1000.dk/frost,25.0,225,GR.,2025-06-01,tunsteaks,tuna steaks;,Fish & Shellfish
Rema1000,INDBAGT VILDLAKS,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/42975/image/1618239286/170.jpg,https://shop.rema1000.dk/frost,44.95,500,GR.,2025-06-01,indbagt vildlaks,baked wild salmon,Fish & Shellfish
Rema1000,DANSK LAKSEFILET,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43274/image/1737655207/170.jpg,https://shop.rema1000.dk/frost,69.95,400,GR.,2025-06-01,laksefilet,salmon fillet,Fish & Shellfish
Rema1000,SILDEFILETER,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/42916/image/1700575263/170.jpg,https://shop.rema1000.dk/frost,25.0,400,GR.,2025-06-01,sildefileter,herring fillets,Fish & Shellfish
Rema1000,PASTA CARBONARA,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45095/image/1618239320/170.jpg,https://shop.rema1000.dk/frost,17.95,350,GR.,2025-06-01,pasta carbonara,pasta carbonara,PUTTING-OFFS
Rema1000,LASAGNE,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45100/image/1656676043/170.jpg,https://shop.rema1000.dk/frost,17.95,400,GR.,2025-06-01,lasagne,lasagne,PUTTING-OFFS
Rema1000,BOLLER I KARRY,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45102/image/1618239321/170.jpg,https://shop.rema1000.dk/frost,19.95,350,GR.,2025-06-01,boller i karry,Buns in curry,PUTTING-OFFS
Rema1000,THAIBOX PANANG,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/44850/image/1695721854/170.jpg,https://shop.rema1000.dk/frost,27.95,350,GR.,2025-06-01,thaibox panang,thaibox panang,PUTTING-OFFS
Rema1000,PARISERTOAST,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/42714/image/1744276898/170.jpg,https://shop.rema1000.dk/frost,19.95,200,GR.,2025-06-01,parisertoast,Pariser toast,PUTTING-OFFS
Rema1000,FRIKADELLER M. RØDKÅL,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45107/image/1673878808/170.jpg,https://shop.rema1000.dk/frost,19.95,350,GR.,2025-06-01,frikadeller m. rødkål,meatballs m. red cabbage,PUTTING-OFFS
Rema1000,THAIBOX RED CURRY,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/44851/image/1695721874/170.jpg,https://shop.rema1000.dk/frost,27.95,350,GR.,2025-06-01,thaibox red curry,thaibox red curry,PUTTING-OFFS
Rema1000,KYLLING M. SKYSAUCE,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45113/image/1739194214/170.jpg,https://shop.rema1000.dk/frost,32.95,450,GR.,2025-06-01,kylling m. skysauce,chicken with skysauce,PUTTING-OFFS
Rema1000,BØF MED BEARNAISE,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45110/image/1741794091/170.jpg,https://shop.rema1000.dk/frost,32.95,450,GR.,2025-06-01,bøf med bearnaise,Beef with bearnaise,PUTTING-OFFS
Rema1000,THAIBOX SWEET CHILI TERIYAKI,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/44853/image/1695721903/170.jpg,https://shop.rema1000.dk/frost,27.95,320,GR.,2025-06-01,thaibox sweet chili teriyaki,thaibox sweet chili teriyaki,PUTTING-OFFS
Rema1000,BIKSEMAD,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45032/image/1695298779/170.jpg,https://shop.rema1000.dk/frost,29.95,500,GR.,2025-06-01,biksemad,Biksemad,PUTTING-OFFS
Rema1000,RISOTTO M/SVAMPE,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/42176/image/1618239282/170.jpg,https://shop.rema1000.dk/frost,14.95,400,GR.,2025-06-01,risotto m/svampe,risotto w/fungus,PUTTING-OFFS
Rema1000,MILLIONBØF,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45103/image/1618239321/170.jpg,https://shop.rema1000.dk/frost,22.95,350,GR.,2025-06-01,millionbøf,millions of steak,PUTTING-OFFS
Rema1000,MØRBRAD A LA CREME,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45112/image/1738317996/170.jpg,https://shop.rema1000.dk/frost,32.95,450,GR.,2025-06-01,mørbrad a la creme,tenderloin a la cream,PUTTING-OFFS
Rema1000,FETTUCCINE FUNGHI,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45094/image/1618239320/170.jpg,https://shop.rema1000.dk/frost,17.95,350,GR.,2025-06-01,fettuccine funghi,fettuccine funghi,PUTTING-OFFS
Rema1000,KYLLING MED BEARNAISE,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45111/image/1738742959/170.jpg,https://shop.rema1000.dk/frost,32.95,450,GR.,2025-06-01,kylling med bearnaise,Chicken with bearnaise,PUTTING-OFFS
Rema1000,BRÆNDENDE KÆRLIGHED,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45101/image/1618239320/170.jpg,https://shop.rema1000.dk/frost,19.95,350,GR.,2025-06-01,brændende kærlighed,Burning Love,PUTTING-OFFS
Rema1000,TIKKA MASALA,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/44868/image/1742306884/170.jpg,https://shop.rema1000.dk/frost,29.95,350,GR.,2025-06-01,tikka masala,tikka masala,PUTTING-OFFS
Rema1000,RISOTTO MED SPINAT,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/42175/image/1618239282/170.jpg,https://shop.rema1000.dk/frost,14.95,400,GR.,2025-06-01,risotto med spinat,risotto with spinach,PUTTING-OFFS
Rema1000,THAIBOX TOM YUM,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/44852/image/1728464386/170.jpg,https://shop.rema1000.dk/frost,27.95,320,GR.,2025-06-01,thaibox tom yum,thaibox tom yum,PUTTING-OFFS
Rema1000,BROCCOLI,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40770/image/1710938323/170.jpg,https://shop.rema1000.dk/frost,13.95,400,GR.,2025-06-01,broccoli,broccoli,"VEGETABLES, FRUIT & BERRY"
Rema1000,FINE ÆRTER,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40686/image/1725289243/170.jpg,https://shop.rema1000.dk/frost,10.0,600,GR.,2025-06-01,fine ærter,fine peas,"VEGETABLES, FRUIT & BERRY"
Rema1000,ÆRTER,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40804/image/1710860734/170.jpg,https://shop.rema1000.dk/frost,13.95,400,GR.,2025-06-01,ærter,Peas,"VEGETABLES, FRUIT & BERRY"
Rema1000,SOJABØNNER,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40798/image/1713880097/170.jpg,https://shop.rema1000.dk/frost,10.0,250,GR.,2025-06-01,sojabønner,soya beans,"VEGETABLES, FRUIT & BERRY"
Rema1000,JORDBÆR,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40861/image/1706623681/170.jpg,https://shop.rema1000.dk/frost,14.95,250,GR.,2025-06-01,jordbær,strawberries,"VEGETABLES, FRUIT & BERRY"
Rema1000,WOKBLANDING,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40768/image/1712668770/170.jpg,https://shop.rema1000.dk/frost,13.95,450,GR.,2025-06-01,wokblanding,wokmix,"VEGETABLES, FRUIT & BERRY"
Rema1000,HARICOTS VERTS,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40844/image/1710862440/170.jpg,https://shop.rema1000.dk/frost,13.95,450,GR.,2025-06-01,haricots verts,Haricots verts,"VEGETABLES, FRUIT & BERRY"
Rema1000,SOMMERBLANDING,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40371/image/1618239248/170.jpg,https://shop.rema1000.dk/frost,13.95,500,GR.,2025-06-01,sommerblanding,summer mixture;,"VEGETABLES, FRUIT & BERRY"
Rema1000,HARICOTS VERTS,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40772/image/1710235485/170.jpg,https://shop.rema1000.dk/frost,10.0,600,GR.,2025-06-01,haricots verts,Haricots verts,"VEGETABLES, FRUIT & BERRY"
Rema1000,SUPER SØDE MAJS,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40805/image/1720088980/170.jpg,https://shop.rema1000.dk/frost,13.95,400,GR.,2025-06-01,super søde majs,Super cute corn,"VEGETABLES, FRUIT & BERRY"
Rema1000,BLOMKÅLSRIS,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40840/image/1715771634/170.jpg,https://shop.rema1000.dk/frost,13.95,350,GR.,2025-06-01,blomkålsris,cauliflower rice,"VEGETABLES, FRUIT & BERRY"
Rema1000,RATATOUILLE,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40292/image/1618239247/170.jpg,https://shop.rema1000.dk/frost,13.95,500,GR.,2025-06-01,ratatouille,ratatouille,"VEGETABLES, FRUIT & BERRY"
Rema1000,HELBLADET SPINAT,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40769/image/1745840631/170.jpg,https://shop.rema1000.dk/frost,13.95,450,GR.,2025-06-01,helbladet spinat,Chinese cabbages/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai/pe-tsai,"VEGETABLES, FRUIT & BERRY"
Rema1000,RODFRUGTER,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40764/image/1712668845/170.jpg,https://shop.rema1000.dk/frost,13.95,450,GR.,2025-06-01,rodfrugter,roots,"VEGETABLES, FRUIT & BERRY"
Rema1000,FAJITA BLANDING,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40378/image/1729678776/170.jpg,https://shop.rema1000.dk/frost,13.95,450,GR.,2025-06-01,fajita blanding,fajita mixture,"VEGETABLES, FRUIT & BERRY"
Rema1000,BROCCOLIBLANDING,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40774/image/1732104836/170.jpg,https://shop.rema1000.dk/frost,10.0,600,GR.,2025-06-01,broccoliblanding,broccoli mixture,"VEGETABLES, FRUIT & BERRY"
Rema1000,MANGO,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40848/image/1704814884/170.jpg,https://shop.rema1000.dk/frost,14.95,250,GR.,2025-06-01,mango,mango,"VEGETABLES, FRUIT & BERRY"
Rema1000,GRØNTSAGSBUND,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40381/image/1729678776/170.jpg,https://shop.rema1000.dk/frost,13.95,500,GR.,2025-06-01,grøntsagsbund,vegetable bottom,"VEGETABLES, FRUIT & BERRY"
Rema1000,GRILL & OVNGRØNT,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/41661/image/1710760439/170.jpg,https://shop.rema1000.dk/frost,14.95,400,GR.,2025-06-01,grill & ovngrønt,barbecue & oven green,"VEGETABLES, FRUIT & BERRY"
Rema1000,BLÅBÆR,"GRØNTSAGER, FRUGT & BÆR",https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/40825/image/1618239260/170.jpg,https://shop.rema1000.dk/frost,14.95,250,GR.,2025-06-01,blåbær,Blueberries,"VEGETABLES, FRUIT & BERRY"
Rema1000,ISVAFLER 4 STK,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/262230/image/1713880344/170.jpg,https://shop.rema1000.dk/frost,18.25,440,ML.,2025-06-01,isvafler 4 stk,iswaffles 4 pcs,ICE AND DESSERT
Rema1000,ISVAFFEL M/FLØDEBOLLE,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/261565/image/1645453601/170.jpg,https://shop.rema1000.dk/frost,10.0,160,ML.,2025-06-01,isvaffel m/flødebolle,iswaffle w/creamball,ICE AND DESSERT
Rema1000,ISVAFFEL,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/261554/image/1645453776/170.jpg,https://shop.rema1000.dk/frost,10.0,140,ML.,2025-06-01,isvaffel,iswaffle,ICE AND DESSERT
Rema1000,ISBÅDE,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/262072/image/1711025680/170.jpg,https://shop.rema1000.dk/frost,26.95,520,ML.,2025-06-01,isbåde,iceboats;,ICE AND DESSERT
Rema1000,"SOLBÆRPIND, VANILJE IS",IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/262064/image/1711532590/170.jpg,https://shop.rema1000.dk/frost,28.95,400,ML.,2025-06-01,"solbærpind, vanilje is","Blackcurrant puddle, vanilla ice",ICE AND DESSERT
Rema1000,MANDEL IS,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/262060/image/1710871212/170.jpg,https://shop.rema1000.dk/frost,26.95,440,ML.,2025-06-01,mandel is,Almond ice,ICE AND DESSERT
Rema1000,CLASSIC IS,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/262061/image/1710871213/170.jpg,https://shop.rema1000.dk/frost,26.95,440,ML.,2025-06-01,classic is,classic is,ICE AND DESSERT
Rema1000,HVID LIMONADEIS,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/261559/image/1618572444/170.jpg,https://shop.rema1000.dk/frost,5.0,80,ML.,2025-06-01,hvid limonadeis,White lemonadeis,ICE AND DESSERT
Rema1000,RAKET IS,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/262270/image/1618572454/170.jpg,https://shop.rema1000.dk/frost,18.95,400,ML.,2025-06-01,raket is,Rocket ice,ICE AND DESSERT
Rema1000,SOMMER ISVAFLER,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/262254/image/1651596016/170.jpg,https://shop.rema1000.dk/frost,26.95,420,ML.,2025-06-01,sommer isvafler,Summer ice cream waffles,ICE AND DESSERT
Rema1000,ISTERNINGER,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/260191/image/1618572416/170.jpg,https://shop.rema1000.dk/frost,20.0,2000,GR.,2025-06-01,isterninger,Ice cubes,ICE AND DESSERT
Rema1000,SOMMERHIT,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/261567/image/1622546254/170.jpg,https://shop.rema1000.dk/frost,5.0,83,ML.,2025-06-01,sommerhit,summer hit,ICE AND DESSERT
Rema1000,MINI MIX,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/262062/image/1712069155/170.jpg,https://shop.rema1000.dk/frost,26.95,330,ML.,2025-06-01,mini mix,mini mix,ICE AND DESSERT
Rema1000,APPELSIN MINI FLØDEIS,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/262261/image/1618572453/170.jpg,https://shop.rema1000.dk/frost,29.95,600,ML.,2025-06-01,appelsin mini flødeis,orange mini cream ice cream,ICE AND DESSERT
Rema1000,SANDWICH IS,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/262070/image/1710871214/170.jpg,https://shop.rema1000.dk/frost,25.95,440,ML.,2025-06-01,sandwich is,sandwich ice cream,ICE AND DESSERT
Rema1000,KARAMEL ISBAR,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/262074/image/1740575735/170.jpg,https://shop.rema1000.dk/frost,25.95,204,ML.,2025-06-01,karamel isbar,caramel ice bar,ICE AND DESSERT
Rema1000,LAKRIDS IS 4 STK,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/262065/image/1719416239/170.jpg,https://shop.rema1000.dk/frost,26.95,400,ML.,2025-06-01,lakrids is 4 stk,licorice is 4 pcs,ICE AND DESSERT
Rema1000,GRØN LIMONADEIS,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/261560/image/1653310641/170.jpg,https://shop.rema1000.dk/frost,5.0,80,ML.,2025-06-01,grøn limonadeis,Green lemonadeis,ICE AND DESSERT
Rema1000,MANDEL IS,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/261562/image/1618572445/170.jpg,https://shop.rema1000.dk/frost,8.0,120,ML.,2025-06-01,mandel is,Almond ice,ICE AND DESSERT
Rema1000,COOKIE DOUGH,IS OG DESSERT,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/262071/image/1710871214/170.jpg,https://shop.rema1000.dk/frost,27.95,340,ML.,2025-06-01,cookie dough,Cookie dough,ICE AND DESSERT
Rema1000,PEPPERONI,PIZZA,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43891/image/1740407363/170.jpg,https://shop.rema1000.dk/frost,29.95,400,GR.,2025-06-01,pepperoni,pepperoni,PIZZA
Rema1000,PEPPERONI PIZZA,PIZZA,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43840/image/1710926815/170.jpg,https://shop.rema1000.dk/frost,26.95,468,GR.,2025-06-01,pepperoni pizza,pepperoni pizza,PIZZA
Rema1000,BOLOGNESE,PIZZA,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43894/image/1740407503/170.jpg,https://shop.rema1000.dk/frost,29.95,440,GR.,2025-06-01,bolognese,Bolognese,PIZZA
