,Company,Link,Product,Pack Size,Periodicity,Type,OTC,PAYG,Subscription,Date of update
42,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/dailies-all-day-comfort-C120.html,Dailies all day comfort,90,Dailies,Spheric,,89.9,71.92,2025-03-29
43,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/1-day-acuvue-moist-for-astigmatism-C10.html,1-day acuvue moist for astigmatism,30,Dailies,Astigmatism,,40.9,32.72,2025-03-29
44,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/dailies-aqua-comfort-plus-toric-C167.html,Dailies aqua comfort plus toric,30,Dailies,Spheric,,43.9,35.12,2025-03-29
45,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/clariti-1-day-C556.html,Clariti 1 day,30,Dailies,Spheric,,33.9,27.12,2025-03-29
46,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/clariti-1-day-C556.html,Clariti 1 day,90,Dailies,Spheric,,88.9,71.12,2025-03-29
47,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/proclear-multifocal-C42.html,Proclear multifocal,6,Monthlies,Multifocal,,84.9,67.92,2025-03-29
48,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/avaira-vitality-C898.html,Avaira vitality,6,Monthlies,Spheric,,38.9,31.12,2025-03-29
49,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/myday-C554.html,Myday,30,Dailies,Spheric,,40.9,32.72,2025-03-29
50,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/myday-C554.html,Myday,90,Dailies,Spheric,,106.9,85.52000000000001,2025-03-29
51,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/myday-toric-C916.html,Myday toric,30,Dailies,Spheric,,52.9,42.32,2025-03-29
52,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/jatkuvakayttoiset-piilolinssit/avaira-vitality-toric-C993.html,Avaira vitality toric,6,Monthlies,Spheric,,47.9,38.32,2025-03-29
53,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/proclear-1-day-multifocal-C108.html,Proclear 1 day multifocal,30,Dailies,Multifocal,,44.9,35.92,2025-03-29
54,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/clariti-1-day-multifocal-C558.html,Clariti 1 day multifocal,30,Dailies,Multifocal,,56.9,45.52,2025-03-29
55,Silmaasema,https://www.silmaasema.fi/tuotteet/piilolinssit/kertakayttopiilolinssit/clariti-1-day-toric-C561.html,Clariti 1 day toric,30,Dailies,Spheric,,46.9,37.52,2025-03-29
